Временска ознака,Prelazak između stranica djelovao je brzo.  ,Aplikacija je radila stabilno pri slabijoj internet vezi.  ,Mogao/la sam nastaviti korišćenje aplikacije kada internet nije bio dostupan.  ,Prelazak između stranica djelovao je brzo. ,Aplikacija je radila stabilno pri slabijoj internet vezi. ,Mogao/la sam nastaviti korišćenje aplikacije kada internet nije bio dostupan. ,Bilo mi je korisno što se akcije izvršavaju nakon ponovnog uspostavljanja interneta.  ,Instalacija aplikacije bila je jednostavna.  ,Preferiram prvu aplikaciju u odnosu na drugu
06.06.2026. 21:28:59,5,5,1,5,5,5,5,5,3
06.06.2026. 21:46:55,2,1,1,5,4,4,5,5,3
07.06.2026. 20:03:57,5,2,1,4,4,5,4,4,2
07.06.2026. 20:05:17,4,2,1,5,4,5,5,5,1
07.06.2026. 20:06:39,4,4,1,4,4,5,4,4,1
07.06.2026. 20:07:26,5,5,1,4,5,5,3,4,2
07.06.2026. 20:11:36,4,2,1,5,4,5,5,5,1
07.06.2026. 20:19:02,4,2,1,4,4,5,5,5,2
07.06.2026. 20:30:24,4,2,1,4,4,5,5,5,2
07.06.2026. 21:00:19,4,2,1,5,4,5,5,5,1
07.06.2026. 21:01:06,4,2,1,5,4,5,5,5,1
07.06.2026. 21:09:42,4,2,1,5,4,5,5,5,1
07.06.2026. 21:11:15,5,3,1,4,4,5,4,4,2
07.06.2026. 21:35:31,4,4,1,4,4,5,3,4,3
08.06.2026. 10:42:01,4,2,1,4,3,5,5,5,2
08.06.2026. 10:42:39,5,4,1,5,4,5,5,4,3
08.06.2026. 10:43:25,3,3,1,4,3,5,4,5,2
08.06.2026. 10:44:22,2,3,1,3,3,5,5,5,2
08.06.2026. 12:47:56,4,2,1,5,4,5,5,5,1
08.06.2026. 13:25:33,5,3,1,4,4,5,4,4,2
